,뉴스제목,내용,페이지주소
0,"크래프톤, '눈물을 마시는 새' 트레일러 공개…K-판타지로 글로벌 승부수","크래프톤이 한국 판타지의 대표작 '눈물을 마시는 새'를 앞세워 글로벌 대작(AAA) 시장 공략에 본격 나섰다. 단순 티저 공개 차원을 넘어 크래프톤이 자체 IP(지식재산권)를 넘어 외부 원작 IP를 ‘글로벌 프랜차이즈’로 확장하겠다는 전략을 본격화했다는 신호로 평가된다.  크래프톤, ‘배틀로얄’ 장르 이후의 카드는…IP 다각화크래프톤은 판타지 소설가 이영도의 대표작 ‘눈물을 마시는 새’ 세계관을 기반으로 개발 중인 트리플에이(AAA)급 액션 게임의 트레일러를 13일 공개했다. 2021년 ‘프로젝트 윈드리스’라는 코드명으로 처음 발표된 이 작품은 크래프톤의 캐나다 자회사인 크래프톤 몬트리올 스튜디오가 개발을 맡고 있다.크래프톤은 그간 ‘배틀그라운드’라는 단일 지식재산권(IP)에 크게 의존해 왔다. 이를 통해 안정적인 캐시카우는 확보했지만, 글로벌 대형 게임사로 도약하기 위해서는 장기 프랜차이즈 확장이 가능한 신규 IP가 필요하다는 평가가 꾸준히 나왔다.반면, ‘눈물을 마시는 새’는 한국 판타지 문학사에서 상징성이 큰 작품이다. 독창적인 종족 설정과 방대한 세계관, 정치·신화적 서사가 결합된 작품으로, 게임·영상화에 적합한 서사 자산을 갖췄다는 평가를 받는다.크래프톤은 이 세계관을 기반으로 액션 중심의 대작 게임을 개발해 서구권 AAA 시장에서 통할 수 있는 신규 IP로 육성하겠다는 구상이다. 단순한 게임 출시를 넘어 향후 영상·굿즈·2차 콘텐츠 확장까지 염두에 둔 ‘멀티 IP 전략’의 일환으로 해석된다. 개발은 북미 스튜디오…글로벌 감각 확보개발을 맡은 크래프톤 몬트리올 스튜디오는 북미 개발 인력을 중심으로 구성된 조직이다. 글로벌 시장을 타깃으로 하는 만큼 서구권 AAA 개발 경험을 가진 인력을 적극적으로 확보해 왔다.한국 원작 IP를 기반으로 하되 제작은 북미에서 진행하는 구조는 ‘콘텐츠는 한국, 제작 감각은 글로벌’이라는 크래프톤식 전략을 볼 수 있다는 평가다. 그간 일본이나 중국 게임사들이 자국 IP를 글로벌화하는 과정에서 현지화에 애를 먹었던 사례를 감안하면 초기 단계부터 해외 개발 역량을 결합한 점은 차별화 요소다.이번 프로젝트는 단순히 크래프톤의 신작을 넘어 ‘K판타지’의 글로벌 확장 가능성을 가늠하는 시험대라는 의미도 갖는다. 최근 K팝·K드라마·웹툰 IP가 글로벌 시장에서 성과를 내고 있지만, 순수 한국 판타지 세계관을 기반으로 한 AAA급 콘솔·PC 게임의 성공 사례는 아직 없다. 흥행 여부에 따라 한국 원작 IP의 게임화 모델이 본격화될 가능성도 있다.한 게임 업계 관계자는 “글로벌 게임 시장에서 성공하려면 기술력뿐 아니라 강력한 세계관 IP가 필수”라며 “눈물을 마시는 새가 성공한다면 한국 문학 기반 IP의 산업적 가치가 재평가될 것”이라고 말했다AAA 시장은 이미 서구 대형 스튜디오들이 장악하고 있다. 오픈월드 액션·다크 판타지 장르 역시 경쟁이 치열하다. 차별화된 세계관 해석과 전투 시스템, 서사 전달 방식이 성패를 가를 전망이다. 크래프톤이 ‘배틀그라운드’ 이후 또 하나의 글로벌 프랜차이즈를 만들 수 있을지, 이번 프로젝트가 중장기 성장 스토리의 분수령이 될 전망이다.",https://n.news.naver.com/mnews/article/015/0005251179
1,"펄어비스, ‘붉은사막’ 출시로 분위기 반전 예고","지난해 연간 매출 3656억, 영업손실 148억기대감 고조 중인 ‘붉은사막’, 위시리스트 200만 돌파3월 말 이후 ‘도깨비’ 팀에 개발 인력 대거 투입지난해 적자를 기록한 펄어비스가 분위기 반전을 위해 내달 20일 출시 예정인 '붉은사막'에 총력을 다하겠다고 밝혔다.펄어비스는 12일 지난해 연간 매출은 3656억원, 영업손실 148억원, 당기손순실 76억원을 기록했다고 잠정실적을 공시했다. 매출은 전년 대비 6% 증가했지만, 신작 개발비 증가 여파로 흑자전환에 성공하지 못했다.게임별로 살펴보면 '검은사막' PC는 신규 클래스 '세라핌'과 '솔라레의 창' 신규 시즌을 선보이며 안정적인 라이브 서비스를 이어갔다. 콘솔은 '아토락시온'과 '에다니아'를 업데이트하고 모바일은 아침의 나라 시리즈를 확대하며 매출이 증가했다. '이브 온라인'은 신규 확장팩 '카탈리스트'(Catalyst) 업데이트를 통해 이용자에게 다양한 즐길 거리를 제공했다.이런 가운데 붉은사막의 출시에 이목이 쏠린다. 붉은사막이 회사의 성장 모멘텀을 넘어 국내 게임 산업의 경쟁력을 보여줄 수 있는 시험대에 올랐다는 평가를 받고 있기 때문이다.회사 운명이 달린 붉은사막은 스팀 등 주요 플랫폼에서 위시리스트 200만을 돌파, 글로벌 기대작으로서의 입지를 확고히 하고 있다. 게임의 스토리와 지역, 탐험, 액션, 퀘스트 등 핵심 콘텐츠를 소개하는 프리뷰 영상을 연이어 공개하며 글로벌 미디어 및 게이머들의 호평도 이어지고 있다.조미영 펄어비스 최고재무책임자(CFO)는 ""올 1분기에도 검은사막과 이브의 꾸준한 라이브 서비스를 선보이는 가운데, 붉은사막의 성공적인 출시를 위해 마지막까지 총력을 기울이겠다""고 말했다.이날 실적발표 콘퍼런스 콜에서는 '도깨비' 소식도 전해졌다. 붉은사막 출시 이후부터 본격적인 개발에 들어갈 예정이다.펄어비스 측은 ""도깨비는 자체 엔진인 블랙 스페이스를 기반으로 빠르게 에셋을 쌓고 있다""며 ""붉은사막 출시 이후 많은 개발 인원을 도깨비에 투입해 속도를 내겠다""면서 ""올해 적절한 시점에 현황을 공개하겠다""고 밝혔다.김영욱 기자 wook95@dt.co.kr
펄어비스 실적 인포그래픽. 펄어비스 제공",https://n.news.naver.com/mnews/article/029/0003010738
2,"""다시 3N, 날아오른 K""…신작 흥행이 가른 게임사 실적","넥슨·크래프톤·넷마블 호실적 속 펄어비스·카카오게임즈 하반기 신작 드라이브국내 주요 게임사들이 2025년 연간 실적을 발표한 가운데, 대형 신작의 흥행 여부에 따라 성적 희비가 갈린 것으로 확인됐다.넷마블과 크래프톤은 역대 최대 매출을 경신하며 성장 잠재력을 과시했고, 엔씨소프트는 흑자 전환에 성공하며 구조 개선의 성과를 증명했다. 반면 신작 출시가 지연된 일부 게임사는 적자의 늪을 벗어나지 못하 대조를 이뤘다.지난해 실적 성장을 이끈 핵심 동력은 단연 신작 흥행과 IP(지식재산권) 파워였다.
국내 게임업계 실적이 회복세를 보이고 있다(사진=각 게임사)넷마블·크래프톤 역대급 실적 '훈풍'...엔씨소프트는 흑자 전환넥슨은 2년 연속 연매출 4조원을 돌파하며 업계 맏형의 위상을 공고히 했다. 넥슨은 지난해 연간 매출 4조 5072억원, 영업이익 1조 1765억원을 기록하며 역대 최대 매출을 달성했다. 사상 처음으로 모든 분기 매출이 1조원을 상회했으며, 특히 4분기 매출은 1조 1606억원을 기록하며 전년 동기 대비 55% 급증했다.신작 ‘아크 레이더스’가 출시 두 달 만에 누적 판매량 1000만장을 돌파한 데 이어 2월 기준 1400만장을 넘어서며 북미와 유럽 시장에서 역대 최대 성과를 견인했다.넷마블은 체질 개선과 신작 흥행이라는 두 마리 토끼를 모두 잡았다. 넷마블은 지난해 연간 매출 2조 8351억원, 영업이익 3525억원을 기록했다고 밝혔다. 매출은 전년 대비 6.4%, 영업이익은 63.5% 급증하며 역대 최대 실적을 달성했다.
넥슨코리아 판교 사옥. 사진=지디넷코리아'세븐나이츠 리버스', 'RF 온라인 넥스트' 등 신작이 연달아 흥행에 성공하고, 해외 자회사의 실적 호조가 더해진 결과다.크래프톤은 창사 이래 처음으로 연매출 3조원을 돌파하며 '3조 클럽'에 가입했다. 크래프톤의 2025년 매출은 3조 3266억원으로 사상 최대치를 기록했고, 영업이익은 1조 544억원으로 1조원 벽을 넘겼다.주력인 '배틀그라운드' IP가 견조한 성장세를 보인 가운데 '인조이', '미메시스' 등 신작이 100만장 이상 판매되며 힘을 보탰다.
엔씨소프트 판교 R&D센터엔씨소프트는 4분기 뒷심을 발휘하며 흑자 전환에 성공했다. 연간 매출은 1조 5069억원으로 전년 대비 5% 감소했으나, 영업이익 161억원을 기록해 적자 고리를 끊었다. 특히 지난해 말 출시한 '아이온2'의 흥행에 힘입어 4분기 매출이 전 분기 대비 92% 급증하는 등 가파른 회복세를 보였다.중견 게임사 약진…카카오게임즈·펄어비스, 올해 '대작'으로 반등 노려중견 게임사들의 약진도 두드러졌다. 시프트업은 '승리의 여신: 니케'와 '스텔라 블레이드'의 성과로 영업이익 1811억원, 영업이익률 61.6%라는 압도적인 수익성을 과시했다. 네오위즈 또한 'P의 거짓'과 '브라운더스트2'의 인기에 힘입어 영업이익이 전년 대비 82% 증가한 600억원을 기록했다.위메이드 역시 '레전드 오브 이미르'의 선전으로 매출 6140억원, 영업이익 107억원을 달성해 2년 연속 흑자를 이어갔으며, 컴투스는 연매출 6938억원, 영업이익 24억원을 기록하며 흑자 전환에 성공했다.
위메이드 사옥반면 신작 공백이 길었던 게임사들은 아쉬운 성적표를 받아들었다.카카오게임즈는 지난해 매출 4650억원, 영업손실 396억원을 기록하며 적자 전환했다. '크로노오디세이', '갓 세이브 버밍엄' 등 주요 기대작의 출시가 잇따라 연기되면서 매출이 전년 대비 26% 감소한 영향이 컸다. 카카오게임즈는 올해 '오딘Q'와 '아키에이지 크로니클' 등 핵심 IP 기반의 대형 신작을 통해 글로벌 시장 공략과 실적 턴어라운드에 나선다는 계획이다.펄어비스는 3년 연속 적자를 기록했다. 연간 매출은 3656억원으로 소폭 증가했으나, 영업손실 148억원을 기록했다. 기대작 '붉은사막' 개발에 전사적 역량을 집중하면서 신작 공백기가 길어진 탓이다. 다만 펄어비스는 다음 달 20일 '붉은사막' 출시를 확정 짓고 배수진을 쳤다.웹젠 역시 국내 게임 시장 침체로 인해 매출 1744억원, 영업이익 297억원을 기록하며 전년 대비 감소한 실적을 거뒀다. 다만 해외 매출 비중이 49%까지 확대되는 성과를 거뒀으며, 지난 1월 출시한 '드래곤소드'와 상반기 정식 출시 예정인 '메모리스' 등 장르 다변화 신작을 통해 실적 반등의 기회를 모색한다는 방침이다.""AI 게임 제작, 시기상조"" 한목소리…주주환원책은 '강화'이번 실적 발표 시즌에는 최근 업계 화두로 떠오른 구글의 '지니 3(Genie 3)' 등 AI 기술에 대한 게임사 수장들의 신중한 입장이 이목을 끌었다. 이들은 AI의 잠재력은 인정하면서도 즉각적인 게임 제작 대체 가능성에는 선을 그었다.박병무 엔씨소프트 공동대표는 이번 컨퍼런스콜에서 ""저희가 만드는 AAA 게임의 경우 아직 AI가 전체적으로 만들기는 굉장히 어렵다""며 ""정교한 시스템 구축의 어려움과 이용자들의 저항감 등으로 인해 시장이 지나치게 반응하는 것 같다""고 밝혔다.이어 ""다만 AI 자회사(NC AI)를 통해 전사적 생산성 향상 TF를 가동하는 등 개발 과정에는 도움을 받을 것""이라고 덧붙였다.
박병무 엔씨소프트 공동대표.김창한 크래프톤 대표 역시 ""지니 3를 구동하기 위한 GPU 용량과 시간적 제약으로 단기간 내에 게임을 대체할 거라 보진 않는다""고 평가했다. 그러면서도 김 대표는 ""AI 기술 발전이 사업에 파괴적인 영향을 준다는 점은 공감하며, 핵심 사업 방어와 새로운 비즈니스 기회 창출이라는 두 가지 관점에서 대응하고 있다""고 강조했다.한편, 게임사들은 주주가치 제고를 위한 강력한 주주환원 정책을 잇달아 내놓으며 투자자 달래기에 나섰다. 성장 정체 우려를 해소하고 주주 신뢰를 확보하겠다는 의지로 풀이된다.크래프톤은 2026년부터 2028년까지 3년간 총 1조원 규모의 주주환원 정책을 시행한다. 매년 1000억원씩 총 3000억원의 현금 배당을 실시하고, 7000억원 규모의 자사주를 매입해 전량 소각할 계획이다. 창사 이래 첫 현금 배당이다.넷마블은 지배주주순이익의 30% 수준인 718억원을 현금 배당하고, 보유 중인 자사주 4.7%를 전량 소각하기로 결정했다. 네오위즈는 영업이익의 20%를 주주에게 환원하는 원칙하에 최소 연간 100억원 규모의 환원을 보장했으며, 컴투스 역시 발행주식의 5.1%에 해당하는 자사주를 소각하며 주주가치 제고 행렬에 동참했다.",https://n.news.naver.com/mnews/article/092/0002410530
3,"삼성전자, 갤럭시 신제품 공개 앞두고 전세계 곳곳서 3D 옥외광고","삼성전자가 KT광화문빌딩과 코엑스에서 갤럭시 신제품의 갤럭시 AI 기능을 소개하는 3D 옥외광고를 진행하고 있다. 삼성전자 제공삼성전자가 차세대 스마트폰 공개를 앞두고 한국과 미국, 영국 등 전 세계 17개국 주요 랜드마크에서 신제품의 갤럭시 AI 기능을 소개하는 3D 옥외 광고를 진행 중이라고 13일 밝혔다. 삼성전자는 한국시간으로 오는 26일 오전 3시 미국 샌프란시스코에서 '갤럭시 언팩 2026' 행사를 열고 새로운 갤럭시 S 시리즈를 공개할 예정이다. 
미국 LA 목시(The Moxy) 갤럭시 옥외광고. 삼성전자 제공언팩 행사는 삼성닷컴과 삼성전자 뉴스룸, 삼성전자 유튜브 채널 등에서 온라인으로 생중계된다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn",https://n.news.naver.com/mnews/article/079/0004115802
4,"""애플 '뉴 시리' 테스트에서 문제 발생...지연 불가피""","애플의 인공지능(AI) 음성 비서 '시리(Siri)' 업그레이드 버전이 최근 수 주일 동안 진행된 테스트 과정에서 문제를 일으켜 일부 핵심 기능의 출시가 또다시 연기될 가능성이 제기됐습니다.애플이 애초 다음 달 공개 예정인 iOS 26.4에 시리의 새로운 기능들을 포함하려 했으나, 일부 기능이 5월로 예정된 iOS 26.5나 9월 공개될 iOS 27로 각각 미뤄질 수 있다고 블룸버그 통신이 소식통을 인용해 현지시간 11일 보도했습니다.테스트 참여자들은 음성 인식 정확도 저하, 빠르게 말할 경우 시리가 사용자의 말을 끊는 버그, 복잡한 질의 처리 지연 등의 문제를 보고한 것으로 전해졌습니다.애플은 2024년 6월에 음성만으로 애플과 타사의 앱들을 제어하는 기능을 2025년 초까지 선보일 방침이라고 밝혔으나 이후 출시 시점을 올해로 연기했습니다.내부적으로는 올해 3월을 목표로 삼았으나, 최근 테스트에서 소프트웨어 결함이 추가로 발견되면서 일정 조정이 불가피해졌다고 소식통들은 전했습니다.※ '당신의 제보가 뉴스가 됩니다'[카카오톡] YTN 검색해 채널 추가[전화] 02-398-8585[메일] social@ytn.co.kr",https://n.news.naver.com/mnews/article/052/0002314232
5,"""주말에 어디가지?""…KT 온마루 방문객 2만 돌파","초대형 미디어월 'KT 스퀘어' 연계 운영전시·F&B 공간으로 광화문 방문객 접점 확대
KT 온마루에 빛과 미디어가 어우러진 '빛의 중정' 전시 공간 ⓒ 뉴스1 김민수 기자(서울=뉴스1) 김민수 기자 = KT(030200) 광화문 사옥에 조성된 미디어월 'KT 스퀘어'와 체험형 전시 공간 'KT 온마루'가 방문객 증가세를 보이고 있다.KT는 온마루 누적 방문객이 지난 10일 기준 2만명을 돌파했다고 12일 밝혔다. 온마루는 지난해 12월 광화문빌딩 웨스트 2층에 문을 연 상설 전시 공간이다.온마루는 대한민국 정보통신 140여년 역사와 KT의 사업 비전을 소개하는 공간으로 △통신 사료 기반 체험 콘텐츠 '시간의 회랑' △몰입형 미디어 아트 공간 '빛의 중정' △팝업 전시 공간 '이음의 여정' 등으로 구성됐다.전시는 일요일을 제외하고 오전 10시부터 오후 6시까지 무료 개방된다. 사전 예약을 통해 국·영문 도슨트 투어 참여도 가능하다.광화문빌딩 외벽에 설치된 초대형 듀얼 미디어월 'KT 스퀘어'는 광화문 광장과 연계해 운영 중이다. 지난해 9월 도심 문화 행사 'K 페스타' 점등식을 통해 공개됐으며, 이후 음악 행사 등과 연계한 미디어 이벤트를 진행했다.광화문빌딩 지하에는 식음료(F&B) 공간도 마련됐다. 미슐랭 2스타 셰프가 운영하는 레스토랑을 포함해 여러 매장이 입점해 있다.KT는 미디어월과 전시 공간을 통해 광화문 일대 방문객 접점을 확대할 계획이다.
광화문빌딩 외벽에 설치된 초대형 듀얼 미디어월 'KT 스퀘어'(KT제공) ⓒ 뉴스1 김민수 기자",https://n.news.naver.com/mnews/article/421/0008771603
6,'국가대표 AI' 추가 공모에 모티프·트릴리온랩스 지원,"이달 중 최종 1개팀 선정 예정과학기술정보통신부는 '독자 인공지능(AI) 파운데이션 모델' 프로젝트의 1개 정예팀 추가 공모 결과, 2개 컨소시엄의 제안이 접수됐다고 12일 밝혔다.이번 추가 공모를 제안한 컨소시엄은 모티프테크놀로지스 주관 컨소시엄과 트릴리온랩스 주관 컨소시엄이다.
배경훈 부총리 겸 과학기술정보통신부 장관, 임문영 국가인공지능전략위원회 부위원장, 하정우 AI미래기획수석비서관 등이 '독자 AI 파운데이션 모델' 프로젝트 1차 발표회에서 기념촬영을 하고 있다. 연합뉴스이번 추가 공모는 독자 AI 파운데이션 모델 프로젝트의 1차 평가에서 네이버클라우드와 NC AI 등 2개 팀이 탈락하면서 진행됐다.과기정통부는 다른 정예팀과 동일한 수준의 AI 모델 개발 기간을 보장하기 위해 오는 8월 초를 전후해 단계 평가를 추진할 계획이다. 구체적으로는 기존 3개 정예팀이 1~6월 AI 모델을 개발하고, 추가 선정팀은 2~7월 개발을 진행해 8월 초 단계 평가를 함께 받게 된다.선정된 1개 정예팀에는 엔비디아 'B200' 그래픽처리장치(GPU) 768장 규모의 자원을 지원한다. 데이터 공동 구매와 구축·가공 지원, 'K-AI 기업' 명칭 부여 등 기존 정예팀과 동등한 수준의 지원도 제공할 예정이다.과기정통부는 제출서류의 적합성 검토와 외부 전문가 평가를 이달 중 진행해 1개 정예팀 추가 공모 결과를 발표할 계획이다.",https://n.news.naver.com/mnews/article/277/0005721530
7,"챗GPT프로, 카톡에서 10분의 1 가격… 왜?","카카오톡 선물하기에서 판매 중인 챗GPT 이용권. 사진 캡처카카오(035720)가 오픈AI의 ‘챗GPT 프로’를 10분의 1 가격에 이용할 수 있는 프로모션을 진행하는 것으로 드러났다. 대폭 할인된 가격을 통해 카카오와 오픈AI의 협업을 강화하는 모양새다.13일 업계에 따르면 카카오는 ‘챗GPT 프로 1개월 이용권’을 이달 12일부터 카카오톡 선물하기에서 2만 9000원에 판매하고 있다. 챗GPT 프로는 챗GPT 유료 멤버십 중 최고 등급에 해당한다. 복잡한 데이터 분석과 장문 보고서 작성, 코드 생성·검증 작업 등을 처리할 수 있는 것이 특징이다. 한국에서 챗GPT 프로의 월 구독료는 웹 결제 기준 200달러(약 28만 8500원)다. 카카오톡의 선물하기를 통해 이용권을 구매하면 10분의 1가격으로 챗GPT 프로를 이용할 수 있는 것이다. 단 구매 수매량은 일인당 이용권 5장으로 제한돼 있다.업계에서는 이번 프로모션이 카카오와 오픈AI 간 협업을 강화하는 데 일환으로 보고 있다. 카카오는 지난해 오픈AI와 협력을 강화하며 카카오톡에서 챗GPT를 이용할 수 있는 ‘챗GPT 포 카카오’를 출시했다. 챗GPT 포 카카오의 이용자는 지난해 10월 출시 이후 현재까지 총 800만 명이다. 정신아 카카오 대표는 “카카오톡의 대화 맥락과 챗GPT 간 연계성을 한층 강화하고 톡 내에서 챗GPT 기반의 다양한 AI 기능을 순차적으로 선보일 계획”이라고 말했다.",https://n.news.naver.com/mnews/article/011/0004590189
8,베일 벗는 '갤럭시S26' 전 색상 유출…6色으로 나온다,"[파이낸셜뉴스] 삼성전자가 이달 공개하는 차세대 플래그십(최고급) 스마트폰 '갤럭시S26' 시리즈의 색상이 유출됐다.  13일 해외 정보기술(IT) 정보유출자(팁스터) 에반 블래스는 갤럭시S26, S26 플러스, S26 울트라의 제품 이미지를 공개했다.  색상은 블랙, 화이트, 스카이 블루, 코발트 바이올렛 등 4가지로 출시되며, 실버 섀도우와 핑크 골드 색상은 삼성닷컴을 통해 독점 판매될 것으로 전망된다.  일반적으로 대중적으로 인기가 있는 블랙, 화이트 색상을 전면에 세우면서도 강렬한 보라색, 파란색 색상을 조합해 제품 존재감을 강화하려는 마케팅 전략의 일환으로 해석된다. 이와함께 지역별 선호하는 선호 색상도 고려했다는 분석도 나온다. 통상 북미, 유럽에서는 파란색 등 차가운 색상을 선호하는 경향이 두드러진다.  외관 측면에서는 일반형과 플러스 모델의 경우 카메라 부분이 살짝 튀어나온 것을 제외하면 전작과 거의 동일한 것으로 추정됐다.  울트라는 후면 카메라 모듈 디자인이 변경되며, 각진 모서리가 더 둥글게 디자인됐다. S펜 역시 둥근 프레임에 맞춰 새롭게 디자인된 것으로 파악된다. 소재는 기존 티타늄 대신 알루미늄이 적용된 것으로 보인다.  삼성전자는 오는 26일 오전 3시(현지시간 25일 오전 10시) 미국 샌프란시스코에서 모바일 신제품 공개 행사인 '갤럭시언팩' 행사를 개최하고, 갤럭시S26 시리즈를 공개할 예정이다.",https://n.news.naver.com/mnews/article/014/0005478521
9,너도나도 투자 뛰어들었다…43조 빨아들인 '저승사자' 정체,"'소프트웨어 저승사자' 앤스로픽43조 '자금 블랙홀' 됐다소프트웨어에서 AI로 머니무브시리즈G 펀딩 마친 앤스로픽 기업가치 5개월 만에 2배 뛰어VC·국부펀드·운용사 자금 싹쓸이한때 SW 사모펀드 블루칩이었지만비중 줄이고 AI 모델기업 투자 확대
/사진=로이터최근 글로벌 증시에서 소프트웨어 주가 하락을 불러일으킨 인공지능(AI) 기업 앤스로픽이 목표액의 3배인 300억달러(약 43조원) 자금을 조달했다. 전통적인 벤처캐피털(VC) 뿐만 아니라 자산운용사, 국부펀드, 빅테크가 모두 앤스로픽 투자에 뛰어들었다. 기존 소프트웨어 기업에서 AI 모델 개발사로, 상장사에서 스타트업으로 '머니 무브'가 일어나고 있다는 분석이 나온다. 앤스로픽 기업가치, 세일즈포스 2배 앤스로픽은 12일(현지시간) 시리즈G 투자를 통해 300억달러를 조달했다고 밝혔다. 처음 목표치는 100억달러였지만 지난달 200억달러로 상향했다. 이후 앤스로픽이 AI에이전트 클로드 코워크를 내놓으며 기존 소프트웨어들을 대체할 대항마로 떠오르자, 막대한 투자 수요가 쏟아지며 지금의 투자 규모에 이르렀다.  평가 기업 가치는 3800억달러로 5개월만에 2배 이상 뛰었다. 세일즈포스(1765억달러) 어도비(1098억원) 등 기존 소프트웨어 기업을 훌쩍 넘는 수준이다.  투자자는 엑셀·베세머벤처파트너스·라이트스피드 등 VC 뿐만 아니라 국부펀드인 GIC(싱가포르)·카타르투자청·MGX(아부다비), 자산운용사인 블랙락, JP모간체이스, 골드만삭스, 빅테크인 마이크로소프트(MS)와 엔비디아 등 다양하게 구성됐다. 
늘어나는 비VC의 AI 메가딜 규모. /자료=피치북이는 AI스타트업 투자가 더이상 전통적인 VC의 전유물이 아니라는 점을 보여준다. 피치북에 따르면 지난해 말 기준 AI 메가딜에 투자된 비(非)VC 자금은 1217억달러(약 175조원)으로 전년(402억달러) 대비 3배 이상 늘었다. 지난해 오픈AI·앤스로픽·xAI·데이터브릭스·스케일AI 5개 기업이 전체 투자의 46%를 차지하는 '메가 라운드' 현상이 일어나고 있는데, 이들이 글로벌 자본시장의 유동성을 빨아들이고 있다는 것이다.  사모펀드는 SW 비중 축소  반면 2010년대 자본시장의 '블루칩'이었던 기업용 소프트웨어 업계에서는 급격한 자본 이탈이 나타나고 있다. 기업용 소프트웨어는 구독 기반의 안정적인 매출을 거둘 수 있어 사모펀드의 최대 투자처로 꼽혔다. 한때 사모펀드 포트폴리오의 약 3분의1을 차지할 정도였다. 그러나 KKR과 블랙스톤은 최근 실적 발표에서 소프트웨어 투자 비중을 각각 7%, 6%라고 밝혔고 브룩필드는 1% 미만, 아폴로글로벌매니지먼트는 0%에 가깝다고 전했다. 이코노미스트는 ""앤스로픽이 사모펀드와 소프트웨어 기업들의 동맹을 산산조각내려고 한다""고 평가했다.
지난해 5대 AI스타트업이 전체 스타트업 투자에서 차지한 비중. /자료=SVB 이러한 머니 무브 현상은 증시에도 영향을 미치고 있다. 이날 다우존스 부동산 지수가 11.44%떨어진 데 더해 존스랑라살(-7.57%) 허드슨퍼시픽프로퍼티스(-4.31%) 등 부동산 주가 전반적으로 하락했다. 지난 10일에는 찰스슈왑, 레이드먼드제임스파이낸셜 등 금융주, 지난 4일에는 톰슨로이터, 리걸줌닷컴 등 법률 소프트웨어가 두 자릿수로 하락하기도 했다. 앤스로픽이 기존 소프트웨어 시장의 '저승사자'가 된 것이다. VC 업계에서도 AI투자를 둘러싼 거대한 변화가 일어나고 있다. VC들은 초기 스타트업과 동반 성장하는 전통적인 VC나 오픈AI, 앤스로픽, xAI 등 거대 AI기업에 투자하는 사실상 '자산운용사'가 된 대형 VC들로 분화되고 있다. 실리콘밸리은행(SVC)은 ""5억달러 이상의 초대형 투자가 전체 VC 투자의 약 절반을 차지했다""며 ""이러한 투자는 명목상 벤처 투자이지만, 전통적인 초기 단계 벤처 투자의 위험 및 수익 프로필과는 다르다""고 지적했다. 실리콘밸리=김인엽 특파원 inside@hankyung.com",https://n.news.naver.com/mnews/article/015/0005251192
